# Метеостанция Мазаново, Россия, WMO_ID=31443, выборка с 01.01.2010 по 01.01.2014, все дни
# Кодировка: ANSI
# Данные предоставлены WEB-сайтом "Расписание Погоды", rp5.ru 
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=31443&lang=ru
#
"Местное время в Мазаново";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2013 16:00";"-19.9";"736.1";"762.1";"-0.2";"79";"Ветер, дующий с северо-востока";"1";"";"";"90  или более, но не 100%";"Снег неливневый. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"0.05";"-22.7";"";"";"";"";"";"";
"31.12.2013 13:00";"-21.6";"736.3";"762.5";"-0.8";"79";"Ветер, дующий с северо-северо-востока";"3";"";"";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"0.05";"-24.3";"";"";"";"";"";"";
"31.12.2013 10:00";"-25.9";"737.1";"763.8";"0.5";"80";"Ветер, дующий с северо-востока";"1";"";"";"100%.";" ";"";"";"-33.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"0.05";"-28.4";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"17.0";
"31.12.2013 07:00";"-32.5";"736.6";"764.1";"-0.6";"71";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"0.05";"-35.9";"";"";"";"";"";"";
"31.12.2013 04:00";"-30.6";"737.2";"764.5";"0.0";"74";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"0.05";"-33.7";"";"";"";"";"";"";
"31.12.2013 01:00";"-26.4";"737.2";"764.0";"-0.3";"79";"Ветер, дующий с северо-северо-востока";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"0.05";"-28.9";"";"";"";"";"";"";
"30.12.2013 22:00";"-24.5";"737.5";"764.0";"0.0";"79";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-20.9";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"0.05";"-27.1";"Осадков нет";"12";"";"";"";"";
"30.12.2013 19:00";"-22.3";"737.5";"754.0";"0.3";"79";"Ветер, дующий с северо-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-24.9";"";"";"";"";"";"";
"30.12.2013 16:00";"-21.2";"737.2";"763.4";"-0.5";"66";"Ветер, дующий с севера";"2";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"0.05";"-25.9";"";"";"";"";"";"";
"30.12.2013 13:00";"-25.7";"737.7";"764.4";"-0.9";"71";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"0.05";"-29.4";"";"";"";"";"";"";
"30.12.2013 10:00";"-35.3";"738.6";"766.4";"0.1";"69";"Ветер, дующий с северо-северо-востока";"1";"";"";"20–30%.";" ";"";"";"-36.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"0.05";"-39.0";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"17.0";
"30.12.2013 07:00";"-34.9";"738.5";"755.8";"-0.8";"85";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-36.5";"";"";"";"";"";"";
"30.12.2013 04:00";"-35.6";"739.3";"767.2";"0.4";"68";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"0.05";"-39.3";"";"";"";"";"";"";
"30.12.2013 01:00";"-34.5";"738.9";"766.6";"0.1";"70";"Ветер, дующий с юго-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"0.05";"-38.0";"";"";"";"";"";"";
"29.12.2013 22:00";"-31.1";"738.8";"755.8";"0.5";"90";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"-22.6";"";"";"";"";"";"50.0";"-32.2";"Осадков нет";"12";"";"";"";"";
"29.12.2013 19:00";"-29.5";"738.3";"765.4";"0.9";"78";"Ветер, дующий с юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"0.05";"-32.1";"";"";"";"";"";"";
"29.12.2013 16:00";"-22.0";"737.4";"763.7";"0.2";"63";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"0.05";"-27.1";"";"";"";"";"";"";
"29.12.2013 13:00";"-26.1";"737.8";"754.4";"0.2";"90";"Ветер, дующий с северо-северо-востока";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-27.3";"";"";"";"";"";"";
"29.12.2013 10:00";"-30.9";"737.6";"764.8";"0.1";"74";"Ветер, дующий с северо-востока";"1";"";"";"60%.";" ";"";"";"-32.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"0.05";"-34.0";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"17.0";
"29.12.2013 07:00";"-31.0";"737.5";"764.8";"-1.0";"73";"Ветер, дующий с севера";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"0.05";"-34.3";"";"";"";"";"";"";
"29.12.2013 04:00";"-32.0";"738.5";"766.0";"-0.8";"75";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"0.05";"-35.0";"";"";"";"";"";"";
"29.12.2013 01:00";"-31.2";"739.3";"766.7";"-0.9";"74";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"0.05";"-34.3";"";"";"";"";"";"";
"28.12.2013 22:00";"-29.5";"740.2";"767.3";"-1.0";"77";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"-18.6";"";"";"";"";"";"0.05";"-32.3";"Осадков нет";"12";"";"";"";"";
"28.12.2013 19:00";"-24.0";"741.2";"757.8";"-0.5";"90";"Ветер, дующий с востоко-юго-востока";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-25.2";"";"";"";"";"";"";
"28.12.2013 16:00";"-23.2";"741.7";"769.9";"-1.5";"72";"Ветер, дующий с юго-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"0.05";"-26.8";"";"";"";"";"";"";
"28.12.2013 13:00";"-23.1";"743.6";"760.1";"-1.6";"85";"Ветер, дующий с юга";"1";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-25.0";"";"";"";"";"";"";
"28.12.2013 10:00";"-32.2";"745.2";"762.4";"-0.5";"89";"Ветер, дующий с востока";"1";"";"";"10%  или менее, но не 0";" ";"";"";"-32.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-33.4";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"17.0";
"28.12.2013 07:00";"-32.9";"745.7";"773.5";"-1.4";"72";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"0.05";"-36.2";"";"";"";"";"";"";
"28.12.2013 04:00";"-32.0";"747.1";"775.0";"-0.6";"73";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"0.05";"-35.2";"";"";"";"";"";"";
"28.12.2013 01:00";"-31.0";"747.7";"775.3";"-0.9";"73";"Ветер, дующий с юго-юго-запада";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"0.05";"-34.3";"";"";"";"";"";"";
"27.12.2013 22:00";"-29.7";"748.6";"776.2";"-1.2";"76";"Ветер, дующий с юго-запада";"1";"";"";"20–30%.";" ";"";"";"";"-17.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"0.05";"-32.6";"Осадков нет";"12";"";"";"";"";
"27.12.2013 19:00";"-23.9";"749.8";"766.6";"0.0";"90";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-25.1";"";"";"";"";"";"";
"27.12.2013 16:00";"-17.9";"749.8";"776.2";"-1.2";"66";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"0.05";"-22.8";"";"";"";"";"";"";
"27.12.2013 13:00";"-21.4";"751.0";"767.6";"-0.4";"75";"Ветер, дующий с юго-юго-востока";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-24.7";"";"";"";"";"";"";
"27.12.2013 10:00";"-34.3";"751.4";"779.6";"-0.5";"70";"Ветер, дующий с юго-востока";"1";"";"";"10%  или менее, но не 0";" ";"";"";"-35.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"0.05";"-37.8";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"17.0";
"27.12.2013 07:00";"-34.7";"751.9";"780.1";"-0.1";"69";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"0.05";"-38.3";"";"";"";"";"";"";
"27.12.2013 04:00";"-33.8";"752.0";"780.2";"-0.3";"71";"Ветер, дующий с востоко-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"0.05";"-37.2";"";"";"";"";"";"";
"27.12.2013 01:00";"-32.6";"752.3";"780.4";"-0.4";"72";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"0.05";"-35.9";"";"";"";"";"";"";
"26.12.2013 22:00";"-30.6";"752.7";"780.4";"-0.5";"75";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"-17.8";"";"";"";"";"";"0.05";"-33.6";"Осадков нет";"12";"";"";"";"";
"26.12.2013 19:00";"-25.8";"753.2";"780.5";"0.0";"83";"Ветер, дующий с юго-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"0.05";"-27.9";"";"";"";"";"";"";
"26.12.2013 16:00";"-18.8";"753.2";"779.7";"-0.7";"64";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"0.05";"-23.9";"";"";"";"";"";"";
"26.12.2013 13:00";"-22.8";"753.9";"780.9";"-0.7";"71";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"0.05";"-26.7";"";"";"";"";"";"";
"26.12.2013 10:00";"-33.4";"754.6";"772.1";"-0.2";"85";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"-33.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-35.0";"Осадков нет";"12";"";"-39.0";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"17.0";
"26.12.2013 07:00";"-33.9";"754.8";"783.1";"-0.4";"70";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"0.05";"-37.4";"";"";"";"";"";"";
"26.12.2013 04:00";"-32.6";"755.2";"783.3";"-0.3";"72";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"0.05";"-35.9";"";"";"";"";"";"";
"26.12.2013 01:00";"-31.3";"755.5";"783.4";"-0.5";"73";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"0.05";"-34.6";"";"";"";"";"";"";
"25.12.2013 22:00";"-28.7";"756.0";"783.7";"0.0";"79";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"-14.7";"";"";"";"";"";"0.05";"-31.2";"Осадков нет";"12";"";"";"";"";
"25.12.2013 19:00";"-22.7";"756.0";"772.9";"0.6";"90";"Ветер, дующий с северо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-23.9";"";"";"";"";"";"";
"25.12.2013 16:00";"-16.4";"755.4";"781.7";"-0.4";"63";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"0.05";"-21.8";"";"";"";"";"";"";
"25.12.2013 13:00";"-18.9";"755.8";"772.4";"-0.1";"85";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-20.8";"";"";"";"";"";"";
"25.12.2013 10:00";"-22.9";"755.9";"782.9";"0.4";"82";"Штиль, безветрие";"0";"";"";"40%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-23.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"0.05";"-25.1";"0.5";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"17.0";
"25.12.2013 07:00";"-20.4";"755.7";"772.3";"-0.4";"90";"Ветер, дующий с северо-северо-востока";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"8.0";"-21.6";"";"";"";"";"";"";
"25.12.2013 04:00";"-23.1";"756.1";"772.9";"0.0";"89";"Ветер, дующий с северо-северо-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-24.4";"";"";"";"";"";"";
"25.12.2013 01:00";"-20.8";"756.1";"783.0";"-0.6";"81";"Ветер, дующий с северо-северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"0.05";"-23.2";"";"";"";"";"";"";
"24.12.2013 22:00";"-21.0";"756.7";"783.6";"-0.3";"81";"Ветер, дующий с северо-северо-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"-19.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"0.05";"-23.4";"Осадков нет";"12";"";"";"";"";
"24.12.2013 19:00";"-20.4";"757.0";"773.7";"-0.1";"90";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-21.6";"";"";"";"";"";"";
"24.12.2013 16:00";"-20.0";"757.1";"783.9";"-0.8";"76";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"0.05";"-23.2";"";"";"";"";"";"";
"24.12.2013 13:00";"-24.4";"757.9";"774.9";"-0.6";"90";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-25.6";"";"";"";"";"";"";
"24.12.2013 10:00";"-30.4";"758.5";"775.8";"0.1";"85";"Ветер, дующий с северо-северо-востока";"1";"";"";"70 – 80%.";" ";"";"";"-32.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-32.1";"Осадков нет";"12";"";"-38.0";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"17.0";
"24.12.2013 07:00";"-32.1";"758.4";"775.1";"-0.1";"91";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-33.1";"";"";"";"";"";"";
"24.12.2013 04:00";"-31.7";"758.5";"776.0";"0.1";"89";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-32.9";"";"";"";"";"";"";
"24.12.2013 01:00";"-30.7";"758.4";"786.4";"0.2";"74";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"0.05";"-33.8";"";"";"";"";"";"";
